phrase,origin
energia,other
prąd,other
zrównoważony,other
energetyczny,other
powietrze,other
ziemia,other
neutralność,other
odnawialny,other
niskoemisyjny,other
klimatyczny,other
boś,other
ocena oddziaływanie,other
środowisko gospodarka,other
fundusz ochrona środowisko,other
ochrona środowisko gospodarka,other
woda,water
woda polski,water
prawo wodny,water
woda opadowy,water
pobór woda,water
odprowadzać ściek,water
jakość woda,water
odprowadzać woda,water
woda zbiorowy,water
opadowy roztopowy,water
stan woda,water
zużycie woda,water
mały opad,water
środowisko gospodarka wodny,water
odprowadzać woda opadowy,water
woda odprowadzać ściek,water
zbiorowy zaopatrzenie woda,water
ilość zużyty woda,water
zbiorowy odprowadzać ściek,water
system kanalizacja deszczowy,water
masowy śnięć ryba,water
gospodarka wodny,water
ściek woda,water
cop26,klimat
cop24a,klimat
klimatologia,klimat
cop,klimat
cop27a,klimat
sprawa klimat,klimat
kwestia klimatyczny,klimat
katastrofa klimatyczny,klimat
zmiana klimat,klimat
zmiana klimatyczny,klimat
walka klimat,klimat
neutralność klimatyczny,klimat
ochrona klimat,klimat
globalny ocieplenie,klimat
szczyt klimatyczny,klimat
klimat środowisko,klimat
kryzys klimatyczny,klimat
wzrost temperatura,klimat
szczyt klimatyczn,klimat
średni temperatura,klimat
katastrofa naturalny,klimat
ślad węglowy,klimat
zmniejszyć emisja,klimat
klimatyczny cop,klimat
klimatyczny 2050,klimat
cel klimatyczny,klimat
stan środowisko,klimat
klimatyczny katowicach,klimat
klimatyczny onz,klimat
klimatyczny paryż,klimat
globalny emisja,klimat
strategia klimatyczny,klimat
aktywistka klimatyczny,klimat
aktywisty klimatyczny,klimat
aktywiść klimatyczny,klimat
bezczynność klimatyczny,klimat
wymóg klimatyczny,klimat
opłata klimatyczny,klimat
zielony rozwiązanie,klimat
fit for 55,klimat
pakiet fit for,klimat
zerowy emisja netto,klimat
wpływ środowisko naturalny,klimat
prawo emisja co2,klimat
idea zrównoważony rozwój,klimat
un global compact,klimat
związać zmiana klimat,klimat
system handel uprawnienie,klimat
osiągnąć neutralność klimatyczny,klimat
spraw zmiana klimat,klimat
walka zmiana klimatyczny,klimat
skutek zmiana klimat,klimat
walka zmiana klimat,klimat
cel zrównoważony rozwój,klimat
szczyt klimatyczny katowicach,klimat
szczyt klimatyczn cop,klimat
sprawa zmiana klimat,klimat
cel neutralność klimatyczny,klimat
skutek globalny ocieplenie,klimat
związać ochrona klimat,klimat
rzecz ochrona klimat,klimat
zmiana klimat ipcc,klimat
nowy zielony ład,klimat
wpływ zmiana klimat,klimat
polityka klimatyczny ue,klimat
wzrosnąć st c,klimat
szczyt klimatyczny cop,klimat
szczyt klimatyczn onz,klimat
negatywny wpływ środowisko,klimat
redukcja emisja co2,klimat
uprawnienie emisja co2,klimat
ograniczyć emisja co2,klimat
zmniejszyć emisja co2,klimat
szczyt klimatyczn cop24a,klimat
koszt emisja co2,klimat
neutralność klimatyczny 2050,klimat
działanie rzecz klimat,klimat
temperatura ziemia wzrosnąć,klimat
ograniczyć globalny ocieplenie,klimat
kierunek neutralność klimatyczny,klimat
zmiana klimatyczny spowodować,klimat
szczyt klimatyczny glasgow,klimat
walczyć zmiana klimat,klimat
spowodować zmiana klimat,klimat
wzgląd zmiana klimat,klimat
zmiana klimatyczny prowadzić,klimat
ocieplenie,klimat
co2,klimat
emisja co2,klimat
gaz cieplarniany,klimat
emisja gaz,klimat
dwutlenek węgiel,klimat
redukcja emisja,klimat
emisja dwutlenek,klimat
ograniczyć emisja,klimat
uprawnienie emisja,klimat
porozumienie paryskiy,klimat
ograniczać emisja,klimat
procent emisja,klimat
fala upał,klimat
ocieplenie klimat,klimat
młodzieżowy strajk,klimat
strajk klimatyczny,klimat
unijny polityka klimatyczny,klimat
milion tona co2,klimat
procent emisja co2,klimat
uprawnienie emisja dwutlenek,klimat
klimatyczny unia europejski,klimat
osiągnąć zerowy emisja,klimat
ograniczyć emisja gaz,klimat
emisja dwutlenek węgiel,klimat
redukcja emisja gaz,klimat
dwutlenek węgiel atmosfera,klimat
konferencja klimatyczny cop,klimat
energia źródło odnawialny,klimat
adaptacja zmiana klimat,klimat
cel redukcja emisja,klimat
ograniczyć emisja dwutlenek,klimat
rozwój energetyka jądrowy,klimat
odpowiadać procent emisja,klimat
globalny polityka klimatyczny,klimat
procent emisja gaz,klimat
stan środowisko naturalny,klimat
ograniczać emisja gaz,klimat
poziom dwutlenek węgiel,klimat
skutek zmiana klimatyczny,klimat
walka globalny ocieplenie,klimat
szczyt klimatyczny paryż,klimat
emisja gaz cieplarniany,klimat
konferencja klimatyczny,klimat
polityka klimatyczny,klimat
zmniejszyć emisja dwutlenek,klimat
cel zmniejszyć emisja,klimat
młodzieżowy strajk klimatyczny,klimat
cel ograniczyć emisja,klimat
limit emisja dwutlenek,klimat
obniżyć emisja co2,klimat
globalny emisja co2,klimat
handel emisj co2,klimat
poziom emisja co2,klimat
wiatrak,energy
oze,energy
wiatrowy,energy
produkcja energia,energy
zużycie energia,energy
cena energia,energy
wytwarzać energia,energy
energia oze,energy
elektrownia wiatrowy,energy
zapotrzebowanie energia,energy
morski farma,energy
morski energetyka,energy
koszt energia,energy
magazyn energia,energy
ustawa oze,energy
koszt emisja,energy
farma fotowoltaiczny,energy
turbina wiatrowy,energy
kolektor słoneczny,energy
transformacja energetyczny,energy
źródło energia,energy
energia elektryczny,energy
odnawialny źródło,energy
efektywność energetyczny,energy
sprawiedliwy transformacja,energy
energetyka jądrowy,energy
elektrownia jądrowy,energy
energetyka wiatrowy,energy
energia odnawialny,energy
polityka energetyczny,energy
zielony transformacja,energy
zielony energia,energy
źródło odnawialny,energy
system energetyczny,energy
miks energetyczny,energy
osiągnąć neutralność,energy
farma wiatrowy,energy
czysty energia,energy
energetyka odnawialny,energy
kryzys energetyczny,energy
odejść węgiel,energy
energia słoneczny,energy
instalacja fotowoltaiczny,energy
termomodernizacja budynek,energy
udział oze,energy
farm wiatrowy,energy
ekologiczny ogrzewać,energy
cena żywność,energy
morski energetyka wiatrowy,energy
efektywność energetyczny budynek,energy
odnawialny źródł energia,energy
lądowy farma wiatrowy,energy
alternatywny źródło energia,energy
instalacja odnawialny źródło,energy
budowa morski farma,energy
pochodzić źródło odnawialny,energy
rozwój morski energetyka,energy
budowa farm wiatrowy,energy
źródło energia odnawialny,energy
produkcja zielony energia,energy
produkcja energia źródło,energy
rzecz energia klimat,energy
pochodzić odnawialny źródło,energy
lądowy energetyka wiatrowy,energy
stowarzyszenie energetyka wiatrowy,energy
instytut energetyka odnawialny,energy
inwestycja odnawialny źródło,energy
wykorzystać odnawialny źródło,energy
ustawa odnawialny źródło,energy
energia odnawialny źródło,energy
odnawialny źródło energia,energy
wzrost cena energia,energy
budowa elektrownia jądrowy,energy
poprawa efektywność energetyczny,energy
rozwój odnawialny źródło,energy
źródło energia oze,energy
międzynarodowy agencja energia,energy
rozwój energetyka wiatrowy,energy
udział odnawialny źródło,energy
urząd regulacja energetyka,energy
podwyżka cena prąd,energy
podwyżka cena energia,energy
transformacja energetyczny polska,energy
energia efektywność energetyczny,energy
morski farma wiatrowy,energy
budowa elektrownia atomowy,energy
energia wiatrowy słoneczny,energy
odejść paliwo kopalny,energy
akcyza energia elektryczny,energy
elektrownia wiatrowych,energy
energetyka wiatrowy ląd,energy
budowa farma wiatrowy,energy
polski energetyka jądrowy,energy
energetyka wiatrowy morze,energy
inwestycja farma wiatrowy,energy
=,energy
odpad,industry
plastik,industry
gospodarować odpad,industry
opłata gospodarować,industry
odbierać odpad,industry
zmniejszyć zużycie,industry
zbierać odpad,industry
zagospodarować odpad,industry
odpad komunalny,industry
tworzywo sztuczny,industry
odpad opakowaniowy,industry
obieg zamknięty,industry
obieg zamknąć,industry
przetwarzać odpad,industry
zatrutych miasto,industry
opakowanie tworzywo sztuczny,industry
odpad tworzywo sztuczny,industry
odbierać odpad komunalny,industry
czystość porządek gmina,industry
system gospodarować odpad,industry
gospodarować odpad komunalny,industry
gospodarka obieg zamknięty,industry
gospodarka obieg zamknąć,industry
gospodarka obieg,industry
cykl życie produkt,industry
opłata gospodarować odpad,industry
powstawać odpad komunalny,industry
marnowania produkt spożywczy,industry
żywność ekologiczny,industry
produkcja ekologiczny,industry
produkt ekologiczny,industry
gospodarka odpad,industry
bezpieczeństwo żywnościowy,industry
rynek żywność ekologiczny,industry
ekologiczny metoda produkcja,industry
platik,industry
zbiórka odpad,industry
odbiór odpad,industry
ilość odpad,industry
poziom recykling,industry
wywóz śmieć,industry
recykling odpad,industry
powstawać odpad,industry
segregacja odpad,industry
system gospodarka odpad,industry
zbierać odpad komunalny,industry
selektywny zbierać odpad,industry
instalacja przetwarzać odpad,industry
zapobiegać powstawać odpad,industry
system rozszerzony odpowiedzialność,industry
zielony ład,politic
strategia zrównoważony rozwój,politic
spraw zrównoważony rozwój,politic
zielony zamówienie publiczny,politic
rzecz zrównoważony rozwój,politic
ochrona środowisko naturalny,politic
zakres ochrona środowisko,politic
związać ochrona środowisko,politic
esg,politic
zrównoważony rozwój,politic
decyzja środowiskowy,politic
środowiskowy uwarunkowanie,politic
inspektor ochrona,politic
przedsięwzięcie środowisko,politic
informacja środowisko,politic
środowisko ocena,politic
organizacja ekologiczny,politic
stawiać zrównoważony,politic
system kaucyjny,politic
ministerstwo klimat,politic
cel zrównoważony,politic
minister klimat,politic
minister środowisko,politic
zielony certyfikat,politic
zielony inwestycja,politic
odpowiedzialny rozwój,politic
odpowiedzialny biznes,politic
program czysty,politic
europejski zielony,politic
wpływ środowisko,politic
zielony zamówienie,politic
ministerstwo środowisko,politic
zielony obligacja,politic
ministerstwo klimat środowisko,politic
minister klimat środowisko,politic
nowelizacja ustawa oze,politic
emisja zielony obligacja,politic
związać zrównoważonym rozwój,politic
zakres zrównoważony rozwój,politic
wzrost cena uprawnienie,politic
decyzja środowiskowy uwarunkowanie,politic
ocena oddziaływanie środowisko,politic
ochrona środowisko ocena,politic
inspekcja ochrona środowisko,politic
wydać decyzja środowiskowy,politic
program ochrona środowisko,politic
strategia rzecz odpowiedzialny,politic
program czysty powietrze,politic
europejski zielony ład,politic
prawo ochrona środowisko,politic
fundusz sprawiedliwy transformacja,politic
społeczny odpowiedzialność biznes,politic
system handel emisj,politic
cena uprawnienie emisja,politic
forum odpowiedzialny biznes,politic
zasada zrównoważony rozwój,politic
objąć system kaucyjny,politic
handel uprawnienie emisja,politic
uzyskać decyzja środowiskowy,politic
ustawa ochrona przyroda,politic
inspektor ochrona środowisko,politic
społeczny odpowiedzialność,politic
system zieleń miasto,politic
cop21,politic
c,other
zanieczyszczenie,industry
cięć emisja,klimat
ocieplenie wzrost,klimat
poziom mórz,klimat
powstrzymać ocieplenie,klimat
klimatyczny wzgląd,klimat
polityka dekarbonizacja,klimat
obrady cop,klimat
poziom emisja,klimat
udział odnawialny,klimat
zmniejszać emisyjność,klimat
cop21 paryż,klimat
cop 21,klimat
zanieczyszczenie atmosfera,klimat
paryski szczyt,klimat
porozumienie paryż,klimat
paryski konferencja,klimat
plastikowy odpad,industry
st c,klimat
konferencja klimatyczny paryż,klimat
zobowiązanie redukcja co2,klimat
polityka klimatyczno energetyczny,klimat
konferencja klimatyczny cop21,klimat
redukcja emisja dwutlenek,klimat
zmniejszać emisja co2,klimat
paryski szczyt klimatyczny,klimat
